name,type,full_name,full_path,code,parent_code
Mẫu Sơn,xa,Xã Mẫu Sơn,"Xã Mẫu Sơn, Tỉnh Lạng Sơn",9503,31
Na Dương,xa,Xã Na Dương,"Xã Na Dương, Tỉnh Lạng Sơn",9759,31
Lợi Bác,xa,Xã Lợi Bác,"Xã Lợi Bác, Tỉnh Lạng Sơn",10015,31
Thống Nhất,xa,Xã Thống Nhất,"Xã Thống Nhất, Tỉnh Lạng Sơn",10271,31
Xuân Dương,xa,Xã Xuân Dương,"Xã Xuân Dương, Tỉnh Lạng Sơn",10527,31
Khuất Xá,xa,Xã Khuất Xá,"Xã Khuất Xá, Tỉnh Lạng Sơn",10783,31
Thái Bình,xa,Xã Thái Bình,"Xã Thái Bình, Tỉnh Lạng Sơn",11039,31
Hữu Lũng,xa,Xã Hữu Lũng,"Xã Hữu Lũng, Tỉnh Lạng Sơn",11295,31
Tuấn Sơn,xa,Xã Tuấn Sơn,"Xã Tuấn Sơn, Tỉnh Lạng Sơn",11551,31
Tân Thành,xa,Xã Tân Thành,"Xã Tân Thành, Tỉnh Lạng Sơn",11807,31
Vân Nham,xa,Xã Vân Nham,"Xã Vân Nham, Tỉnh Lạng Sơn",12063,31
Thiện Tân,xa,Xã Thiện Tân,"Xã Thiện Tân, Tỉnh Lạng Sơn",12319,31
Yên Bình,xa,Xã Yên Bình,"Xã Yên Bình, Tỉnh Lạng Sơn",12575,31
Hữu Liên,xa,Xã Hữu Liên,"Xã Hữu Liên, Tỉnh Lạng Sơn",12831,31
Cai Kinh,xa,Xã Cai Kinh,"Xã Cai Kinh, Tỉnh Lạng Sơn",13087,31
Chi Lăng,xa,Xã Chi Lăng,"Xã Chi Lăng, Tỉnh Lạng Sơn",13343,31
Quan Sơn,xa,Xã Quan Sơn,"Xã Quan Sơn, Tỉnh Lạng Sơn",13599,31
Chiến Thắng,xa,Xã Chiến Thắng,"Xã Chiến Thắng, Tỉnh Lạng Sơn",13855,31
Nhân Lý,xa,Xã Nhân Lý,"Xã Nhân Lý, Tỉnh Lạng Sơn",14111,31
Bằng Mạc,xa,Xã Bằng Mạc,"Xã Bằng Mạc, Tỉnh Lạng Sơn",14367,31
Vạn Linh,xa,Xã Vạn Linh,"Xã Vạn Linh, Tỉnh Lạng Sơn",14623,31
Đồng Đăng,xa,Xã Đồng Đăng,"Xã Đồng Đăng, Tỉnh Lạng Sơn",14879,31
Cao Lộc,xa,Xã Cao Lộc,"Xã Cao Lộc, Tỉnh Lạng Sơn",15135,31
Công Sơn,xa,Xã Công Sơn,"Xã Công Sơn, Tỉnh Lạng Sơn",15391,31
Ba Sơn,xa,Xã Ba Sơn,"Xã Ba Sơn, Tỉnh Lạng Sơn",15647,31
Tam Thanh,phuong,Phường Tam Thanh,"Phường Tam Thanh, Tỉnh Lạng Sơn",15903,31
Lương Văn Tri,phuong,Phường Lương Văn Tri,"Phường Lương Văn Tri, Tỉnh Lạng Sơn",16159,31
Hoàng Văn Thụ,phuong,Phường Hoàng Văn Thụ,"Phường Hoàng Văn Thụ, Tỉnh Lạng Sơn",16415,31
Đông Kinh,phuong,Phường Đông Kinh,"Phường Đông Kinh, Tỉnh Lạng Sơn",16671,31
Phong Dụ Thượng,xa,Xã Phong Dụ Thượng,"Xã Phong Dụ Thượng, Tỉnh Lào Cai",288,32
Nậm Có,xa,Xã Nậm Có,"Xã Nậm Có, Tỉnh Lào Cai",544,32
Nậm Xé,xa,Xã Nậm Xé,"Xã Nậm Xé, Tỉnh Lào Cai",800,32
Tà Si Láng,xa,Xã Tà Si Láng,"Xã Tà Si Láng, Tỉnh Lào Cai",1056,32
Chế Tạo,xa,Xã Chế Tạo,"Xã Chế Tạo, Tỉnh Lào Cai",1312,32
Lao Chải,xa,Xã Lao Chải,"Xã Lao Chải, Tỉnh Lào Cai",1568,32
Cát Thịnh,xa,Xã Cát Thịnh,"Xã Cát Thịnh, Tỉnh Lào Cai",1824,32
Ngũ Chỉ Sơn,xa,Xã Ngũ Chỉ Sơn,"Xã Ngũ Chỉ Sơn, Tỉnh Lào Cai",2080,32
Khao Mang,xa,Xã Khao Mang,"Xã Khao Mang, Tỉnh Lào Cai",2336,32
Mù Cang Chải,xa,Xã Mù Cang Chải,"Xã Mù Cang Chải, Tỉnh Lào Cai",2592,32
Púng Luông,xa,Xã Púng Luông,"Xã Púng Luông, Tỉnh Lào Cai",2848,32
Trạm Tấu,xa,Xã Trạm Tấu,"Xã Trạm Tấu, Tỉnh Lào Cai",3104,32
Hạnh Phúc,xa,Xã Hạnh Phúc,"Xã Hạnh Phúc, Tỉnh Lào Cai",3360,32
Phình Hồ,xa,Xã Phình Hồ,"Xã Phình Hồ, Tỉnh Lào Cai",3616,32
Liên Sơn,xa,Xã Liên Sơn,"Xã Liên Sơn, Tỉnh Lào Cai",3872,32
Nghĩa Lộ,phuong,Phường Nghĩa Lộ,"Phường Nghĩa Lộ, Tỉnh Lào Cai",4128,32
Trung Tâm,phuong,Phường Trung Tâm,"Phường Trung Tâm, Tỉnh Lào Cai",4384,32
Cầu Thia,phuong,Phường Cầu Thia,"Phường Cầu Thia, Tỉnh Lào Cai",4640,32
Tú Lệ,xa,Xã Tú Lệ,"Xã Tú Lệ, Tỉnh Lào Cai",4896,32
Gia Hội,xa,Xã Gia Hội,"Xã Gia Hội, Tỉnh Lào Cai",5152,32
Sơn Lương,xa,Xã Sơn Lương,"Xã Sơn Lương, Tỉnh Lào Cai",5408,32
Văn Chấn,xa,Xã Văn Chấn,"Xã Văn Chấn, Tỉnh Lào Cai",5664,32
Thượng Bằng La,xa,Xã Thượng Bằng La,"Xã Thượng Bằng La, Tỉnh Lào Cai",5920,32
